Rank,Compound_ID,Smiles,Wiener,Zagreb1,Zagreb2,Balaban_RDKit,activity_score,Activity_Predicted_Label,toxicity_score,Toxicity_Predicted_Label,safety_score,priority_score
1,445881,C1=CC(=C(C=C1[C@@H]2[C@H](C(C3=C(C=C(C=C3O2)O)O)O)O)O)O,986,120,145,2.0616,0.3264265312229799,0,0.4970219198790627,0,0.5029780801209374,0.16418538997507162
2,65084,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,1005,120,144,2.0282,0.29862261137093477,0,0.4970219198790627,0,0.5029780801209374,0.15020062774805357
3,72277,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,1005,120,144,2.0282,0.29862261137093477,0,0.4970219198790627,0,0.5029780801209374,0.15020062774805357
4,72276,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,894,114,136,1.9979,0.29631609425968053,0,0.5018518518518518,1,0.49814814814814823,0.14760931362195198
5,9064,C1[C@@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O,894,114,136,1.9979,0.29631609425968053,0,0.5018518518518518,1,0.49814814814814823,0.14760931362195198
6,24772948,COC1=C(C(=C(C=C1)C2COC3=C(C2=O)C=CC(=C3)O)OC)O,1138,122,148,2.0513,0.3169966017486746,0,0.5815893365893366,1,0.41841066341066335,0.13263475843658878
7,56658060,COC1=C(C=CC(=C1)C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,1122,124,150,2.0702,0.3429045827601743,0,0.621358407986315,1,0.37864159201368497,0.1298379371251008
8,72281,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,1038,118,141,1.9836,0.3492566722933016,0,0.6410194888766317,1,0.35898051112336826,0.12537633873309614
9,161557,"C1=C(C=C(C(=C1O)O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O
",1104,126,153,2.1085,0.28700594095164084,0,0.5697397563676635,1,0.4302602436323365,0.12348724607778097
10,70696494,COC1=CC(=C2C(=O)C[C@H](OC2=C1)C3=CC(=CC(=C3)O)O)O,1013,118,140,2.0283,0.2972496416855181,0,0.6021428571428571,1,0.3978571428571429,0.11826289315630971
11,122850,"C1=CC(=CC=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O

",872,114,137,2.0668,0.2914622041387985,0,0.6195566061845131,1,0.38044339381548686,0.11088487011150673
12,130403,COC1=CC(=CC(=C1O)O)[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O,1245,130,158,2.1056,0.2870520974723024,0,0.6149419256093699,1,0.3850580743906301,0.11053172790247623
13,441437,C1[C@H]([C@@H](C([C@H]([C@@H]1O)O)O)O)O,140,54,63,2.6254,0.12905344446485892,0,0.17931159420289855,0,0.8206884057971015,0.10591266560048983
14,439533,C1=CC(=C(C=C1[C@@H]2[C@H](C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,986,120,145,2.0824,0.2712038483575,0,0.6393856188706687,1,0.3606143811293313,0.09780000793533287
15,197081,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O.[Cl-],2753,174,210,0.0,0.18956064306986448,0,0.5036092214663643,1,0.49639077853363567,0.09409615519278666
16,10100906,C1=C(C=C(C(=C1O)O)O)C2=C(C=C3C(=CC(=CC3=[O+]2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O,6544,240,292,1.6292,0.16662673145490267,0,0.4379743008314437,0,0.5620256991685564,0.09364850524611296
17,5488811,COC1=C(C=CC(=C1)C2=C(C=C3C(=CC(=CC3=[O+]2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O,6583,238,289,1.6186,0.17295257364944008,0,0.4669425547996976,0,0.5330574452003024,0.09219365705038768
18,12313913,COC1=C(C=CC(=C1)C2=C(C=C3C(=CC(=CC3=[O+]2)O)OC4C(C(C(C(O4)CO)O)O)O)OC5C(C(C(C(O5)CO)O)O)O)O,6583,238,289,1.6186,0.17295257364944008,0,0.4669425547996976,0,0.5330574452003024,0.09219365705038768
19,131752380,C1=CC(=C(C=C1C2=C(C=C3C(=CC(=CC3=[O+]2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O,11267,294,358,1.4377,0.1620538530383238,0,0.4379743008314437,0,0.5620256991685564,0.09107843005682241
20,192918,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC4=C(C=C(C=C4[O+]=C3C5=CC(=C(C(=C5)O)O)O)O)O)O)O)O)O)O)O.[Cl-],6498,236,286,0.0,0.1696600724256804,0,0.4669425547996976,0,0.5330574452003024,0.09043856475973147
21,71587075,COC1=CC(=CC(=C1O)O)C2=C(C=C3C(=CC(=CC3=[O+]2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O.[Cl-],6936,244,297,0.0,0.16951836203688356,0,0.4669425547996976,0,0.5330574452003024,0.09036302498192109
22,443650,C1=C(C=C(C(=C1O)O)O)C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,2966,180,218,1.8637,0.18300098204318876,0,0.5069425547996976,1,0.49305744520030237,0.09022999667536107
23,441688,C1=CC(=C(C=C1C2=C(C=C3C(=CC(=CC3=[O+]2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O,6196,234,284,1.6077,0.15939043662486713,0,0.4379743008314437,0,0.5620256991685564,0.08958152158487243
24,441765,"COC1=CC(=CC(=C1O)OC)C2=C(C=C3C(=CC(=CC3=[O+]2)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O 
",7334,248,302,1.6548,0.16623715735284633,0,0.4669425547996976,0,0.5330574452003024,0.08861395439586893
25,441699,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O)O)O,2753,174,210,1.8364,0.17961731335650066,0,0.5078727873578371,1,0.49212721264216286,0.0883945677644086
26,441667,"C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O)O
",2753,174,210,1.8364,0.17961731335650066,0,0.5078727873578371,1,0.49212721264216286,0.0883945677644086
27,10196837,C1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC4=C(C=C(C=C4[O+]=C3C5=CC(=C(C(=C5)O)O)O)O)O)CO)O)O)O)O)O,5667,230,279,1.5894,0.16509083604104702,0,0.4669425547996976,0,0.5330574452003024,0.08800289928602253
28,440735,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O,896,114,136,2.0139,0.28152905172095943,0,0.6892615493917604,1,0.31073845060823957,0.08748190133297788
29,11169452,"C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O)O
",6064,234,284,1.5689,0.16336360367977248,0,0.4669425547996976,0,0.5330574452003024,0.08708218521625424
30,11250133,C1[C@@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,5400,238,293,1.5532,0.17539273212571266,0,0.5161375661375661,1,0.4838624338624339,0.08486595424812922
31,122738,C1[C@H]([C@H](OC2=C1C(=CC(=C2[C@@H]3[C@H]([C@H](OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,5400,238,293,1.5532,0.17539273212571266,0,0.5161375661375661,1,0.4838624338624339,0.08486595424812922
32,42607970,C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(C=C3)O)O[C@H]4[C@@H]([C@@H]([C@@H]([C@H](O4)CO)O)O)O ,2986,174,210,1.5883,0.17331829219495476,0,0.5155251860935446,1,0.4844748139064554,0.08396834735773537
33,443648,C1=CC(=CC=C1C2=[O+]C3=CC(=CC(=C3C=C2O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,2544,168,202,1.8121,0.17639146261726005,0,0.5269204064054562,1,0.47307959359454377,0.08344720144852054
34,154723842,"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=C([O+]=C4C=C(C=C(C4=C3)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)C6=CC(=C(C(=C6)O)O)O)O)O)O)O)O)OC(=O)/C=C/C7=CC=C(C=C7)O.[Cl-] 
",21638,352,423,0.0,0.15477986254353532,0,0.4669425547996976,0,0.5330574452003024,0.08250655809591091
35,10456516,C1[C@H]([C@H](OC2=C1C(=CC3=C2[C@@H](CC(=O)O3)C4=CC(=C(C=C4)O)O)O)C5=CC(=C(C=C5)O)O)O,2924,186,227,1.6595,0.1789013436693701,0,0.5484391534391535,1,0.4515608465608465,0.0807848421982137
36,157009871,"C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)C4[C@@H]([C@H]([C@@H]([C@H](O4)CO[C@H]5[C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O)O)O
",5568,220,269,1.4469,0.15235040972124364,0,0.47464096749811036,0,0.5253590325018896,0.08003866385241905
37,5319116,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,3129,174,210,1.6352,0.16094353237671338,0,0.516650420109744,1,0.48334957989025595,0.07779198876033822
38,5280441,C1=CC(=CC=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O,2446,170,208,1.9626,0.16394969931985395,0,0.5269204064054562,1,0.47307959359454377,0.07756125712418416
39,114776,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C=C(C(=C3O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,2865,176,216,1.8583,0.16162503094609174,0,0.5259901738473167,1,0.4740098261526833,0.076611852820679
40,5280637,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,2997,174,210,1.72,0.16077051706782763,0,0.5259901738473167,1,0.4740098261526833,0.07620680484579798
41,45933934,C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4C([C@@H]([C@@H](C(O4)CO)O)O)O)O)O)O,2997,174,210,1.72,0.16077051706782763,0,0.5259901738473167,1,0.4740098261526833,0.07620680484579798
42,5320623,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O)O,2931,174,211,1.7586,0.15936134085985812,0,0.5269204064054562,1,0.47307959359454377,0.07539059836866324
43,129663,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(O2)C=C(C=C3O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O ,3230,178,215,1.6259,0.16564048081970967,0,0.5463605442176871,1,0.4536394557823129,0.07514105757457373
44,5481224,C1[C@@H]([C@@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O,2472,170,206,1.9188,0.16150995732015022,0,0.5350836717115787,1,0.46491632828842133,0.07508861633930387
45,5315206,C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O,6432,240,294,1.6672,0.14052099430404827,0,0.4669425547996976,0,0.5330574452003024,0.07490576222072222
46,107876,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC4(C(C(C5=C(C=C(C=C5O4)O)O)O)O)C6=CC(=C(C=C6)O)O,5600,244,300,1.5408,0.15823354746843005,0,0.5308201058201057,1,0.46917989417989425,0.07423999905694728
47,74978013,CC1C(C(C(C(O1)OC2C(C(C(OC2OCC3C(C(C(C(O3)OC4=C(OC5=CC(=CC(=C5C4=O)O)O)C6=CC=C(C=C6)O)O)O)O)C)O)O)O)O)O,10960,286,348,1.2576,0.13838747640145507,0,0.4669425547996976,0,0.5330574452003024,0.07376847461827678
48,5320835,"C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O
",6899,240,293,1.5499,0.13774340644673336,0,0.4669425547996976,0,0.5330574452003024,0.07342514833368255
49,5318644,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O,3163,184,224,1.9154,0.1574774979400427,0,0.534153439153439,1,0.46584656084656095,0.07336035082609028
50,5282150,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O,5754,224,271,1.474,0.15445909051126114,0,0.5259901738473167,1,0.4740098261526833,0.07321512664094447
51,439246,C1[C@H](OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O,788,108,128,1.9989,0.25819638886736057,0,0.716479464981769,1,0.28352053501823105,0.0732039783114493
52,5280804,"C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O
",2914,180,219,1.909,0.15411761922122075,0,0.5259901738473167,1,0.4740098261526833,0.07305326589411629
53,5281643,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,2914,180,219,1.909,0.15411761922122075,0,0.5259901738473167,1,0.4740098261526833,0.07305326589411629
54,11016019,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,3296,178,215,1.7127,0.15366970135431013,0,0.5259901738473167,1,0.4740098261526833,0.0728409484238913
55,442664,"C1=CC(=CC=C1C2=CC(=O)C3=C(C(=C(C(=C3O2)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)O)O
",5314,232,288,1.8151,0.14661120611061462,0,0.5036092214663643,1,0.49639077853363567,0.07277645074300332
56,5003737,C1[C@H](OC2=C(C1=O)C=CC(=C2)O)C3=CC=C(C=C3)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,2712,162,194,1.464,0.16142614716620457,0,0.549369385997293,1,0.450630614002707,0.0727435638135981
57,5281675,C1=CC(=C(C=C1C2=CC(=O)C3=C(O2)C(=C(C=C3O)O)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,2667,176,216,1.9723,0.15323429606813524,0,0.5259901738473167,1,0.4740098261526833,0.07263456203988558
58,14332696,C1=CC(=CC=C1/C=C/C(=O)OCC2C(C(C(C(O2)OC3=C([O+]=C4C=C(C=C(C4=C3)OC5C(C(C(C(O5)CO)O)O)O)O)C6=CC(=C(C=C6)O)O)O)O)O)O,12602,290,346,1.314,0.15610089592840148,0,0.5349638726319899,1,0.46503612736801014,0.0725925561212206
59,20055968,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@@H]([C@@H]([C@H]([C@@H](O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O,11886,290,353,1.2182,0.13557010348550008,0,0.4669425547996976,0,0.5330574452003024,0.07226665300952129
60,24211954,"C1C(OC2=CC(=CC(=C2C1=O)O)O[C@H]3C([C@@H]([C@@H](C(O3)CO)O)O)O)C4=CC=C(C=C4)O
",2754,168,202,1.5914,0.15911583177517685,0,0.5463605442176871,1,0.4536394557823129,0.07218121933284127
61,5484006,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@H](O4)[C@@H](CO)O)O)O)O)O,2962,180,219,1.8794,0.15488377466421704,0,0.534153439153439,1,0.46584656084656095,0.07215207375825922
62,21576179,C1[C@@H]([C@@H]([C@H]([C@@H](O1)C2=C(C(=C3C(=C2O)C(=O)C=C(O3)C4=CC=C(C=C4)O)[C@H]5[C@@H]([C@H]([C@H](CO5)O)O)O)O)O)O)O,4120,212,262,1.7964,0.1507185878317769,0,0.5226568405139834,1,0.4773431594860166,0.07194448690889109
63,11655911,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)O,3441,186,226,1.7485,0.16043209732545105,0,0.5570979883458935,1,0.4429020116541065,0.07105569863932966
